Country code,Country,Year,NACE,Attribute,Share_%
AT,Austria,2008,bC13,,53.8161
AT,Austria,2009,bC13,,53.7259
AT,Austria,2010,bC13,,51.104
AT,Austria,2011,bC13,,51.1879
AT,Austria,2012,bC13,,51.11
AT,Austria,2013,bC13,,51.2684
AT,Austria,2014,bC13,,51.9021
AT,Austria,2015,bC13,,53.5365
AT,Austria,2016,bC13,,52.9404
AT,Austria,2017,bC13,,54.248
AT,Austria,2018,bC13,,58.5162
AT,Austria,2019,bC13,,59.5613
BE,Belgium,2008,bC13,,32.1001
BE,Belgium,2009,bC13,,32.6087
BE,Belgium,2010,bC13,,31.8733
BE,Belgium,2011,bC13,,31.6001
BE,Belgium,2012,bC13,,31.6111
BE,Belgium,2013,bC13,,31.0776
BE,Belgium,2014,bC13,,30.6892
BE,Belgium,2015,bC13,,30.1484
BE,Belgium,2016,bC13,,30.1582
BE,Belgium,2017,bC13,,30.6242
BE,Belgium,2018,bC13,,31.4704
BE,Belgium,2019,bC13,,31.9637
BG,Bulgaria,2008,bC13,,41.7231
BG,Bulgaria,2009,bC13,,42.0323
BG,Bulgaria,2010,bC13,,38.9433
BG,Bulgaria,2011,bC13,,38.5815
BG,Bulgaria,2012,bC13,,38.2574
BG,Bulgaria,2013,bC13,,39.9813
BG,Bulgaria,2014,bC13,,38.7486
BG,Bulgaria,2015,bC13,,39.0142
BG,Bulgaria,2016,bC13,,36.4303
BG,Bulgaria,2017,bC13,,37.9453
BG,Bulgaria,2018,bC13,,37.924
BG,Bulgaria,2019,bC13,,37.9642
HR,Croatia,2008,bC13,,35.6173
HR,Croatia,2009,bC13,,35.1169
HR,Croatia,2010,bC13,,32.6274
HR,Croatia,2011,bC13,,25.4817
HR,Croatia,2012,bC13,,26.6648
HR,Croatia,2013,bC13,,22.7694
HR,Croatia,2014,bC13,,19.0784
HR,Croatia,2015,bC13,,20.3275
HR,Croatia,2016,bC13,,23.5479
HR,Croatia,2017,bC13,,26.1652
HR,Croatia,2018,bC13,,26.0238
HR,Croatia,2019,bC13,,25.7765
CZ,Czech Republic,2008,bC13,,52.8975
CZ,Czech Republic,2009,bC13,,51.27
CZ,Czech Republic,2010,bC13,,48.9597
CZ,Czech Republic,2011,bC13,,46.7488
CZ,Czech Republic,2012,bC13,,46.3423
CZ,Czech Republic,2013,bC13,,42.4917
CZ,Czech Republic,2014,bC13,,40.9322
CZ,Czech Republic,2015,bC13,,38.1771
CZ,Czech Republic,2016,bC13,,38.0848
CZ,Czech Republic,2017,bC13,,37.9372
CZ,Czech Republic,2018,bC13,,37.7755
CZ,Czech Republic,2019,bC13,,36.7904
DK,Denmark,2008,bC13,,40.1565
DK,Denmark,2009,bC13,,40.1508
DK,Denmark,2010,bC13,,40.0204
DK,Denmark,2011,bC13,,38.4852
DK,Denmark,2012,bC13,,37.0183
DK,Denmark,2013,bC13,,36.4167
DK,Denmark,2014,bC13,,36.0716
DK,Denmark,2015,bC13,,34.976
DK,Denmark,2016,bC13,,33.4589
DK,Denmark,2017,bC13,,33.465
DK,Denmark,2018,bC13,,37.6188
DK,Denmark,2019,bC13,,37.9616
EE,Estonia,2008,bC13,,41.5509
EE,Estonia,2009,bC13,,32.06
EE,Estonia,2010,bC13,,27.465
EE,Estonia,2011,bC13,,21.1131
EE,Estonia,2012,bC13,,20.534
EE,Estonia,2013,bC13,,20.5408
EE,Estonia,2014,bC13,,21.0603
EE,Estonia,2015,bC13,,21.0249
EE,Estonia,2016,bC13,,21.0877
EE,Estonia,2017,bC13,,22.9884
EE,Estonia,2018,bC13,,26.9879
EE,Estonia,2019,bC13,,29.917
FI,Finland,2008,bC13,,37.0661
FI,Finland,2009,bC13,,38.5322
FI,Finland,2010,bC13,,35.6572
FI,Finland,2011,bC13,,35.2866
FI,Finland,2012,bC13,,35.301
FI,Finland,2013,bC13,,33.9884
FI,Finland,2014,bC13,,32.3444
FI,Finland,2015,bC13,,33.2817
FI,Finland,2016,bC13,,34.452
FI,Finland,2017,bC13,,34.5384
FI,Finland,2018,bC13,,35.5406
FI,Finland,2019,bC13,,35.5503
FR,France,2008,bC13,,36.6465
FR,France,2009,bC13,,37.2923
FR,France,2010,bC13,,37.5863
FR,France,2011,bC13,,36.9914
FR,France,2012,bC13,,36.5692
FR,France,2013,bC13,,37.3572
FR,France,2014,bC13,,37.948
FR,France,2015,bC13,,36.9944
FR,France,2016,bC13,,38.0751
FR,France,2017,bC13,,38.43
FR,France,2018,bC13,,37.9305
FR,France,2019,bC13,,39.5699
DE,Germany,2008,bC13,,32.5277
DE,Germany,2009,bC13,,30.861
DE,Germany,2010,bC13,,30.7978
DE,Germany,2011,bC13,,31.1678
DE,Germany,2012,bC13,,30.4977
DE,Germany,2013,bC13,,30.0233
DE,Germany,2014,bC13,,29.9
DE,Germany,2015,bC13,,29.0482
DE,Germany,2016,bC13,,28.8661
DE,Germany,2017,bC13,,29.4426
DE,Germany,2018,bC13,,29.166
DE,Germany,2019,bC13,,29.6032
EL,Greece,2008,bC13,,50.3732
EL,Greece,2009,bC13,,50.6674
EL,Greece,2010,bC13,,49.6885
EL,Greece,2011,bC13,,45.8807
EL,Greece,2012,bC13,,41.6774
EL,Greece,2013,bC13,,41.2665
EL,Greece,2014,bC13,,43.2529
EL,Greece,2015,bC13,,41.4831
EL,Greece,2016,bC13,,39.4821
EL,Greece,2017,bC13,,40.4918
EL,Greece,2018,bC13,,37.9316
EL,Greece,2019,bC13,,38.221
HU,Hungary,2008,bC13,,33.2937
HU,Hungary,2009,bC13,,32.6112
HU,Hungary,2010,bC13,,32.0929
HU,Hungary,2011,bC13,,33.1228
HU,Hungary,2012,bC13,,29.6235
HU,Hungary,2013,bC13,,28.1943
HU,Hungary,2014,bC13,,27.946
HU,Hungary,2015,bC13,,27.4164
HU,Hungary,2016,bC13,,25.7726
HU,Hungary,2017,bC13,,25.5673
HU,Hungary,2018,bC13,,26.418
HU,Hungary,2019,bC13,,25.0905
IE,Ireland,2008,bC13,,36.0433
IE,Ireland,2009,bC13,,34.5897
IE,Ireland,2010,bC13,,33.5291
IE,Ireland,2011,bC13,,32.3446
IE,Ireland,2012,bC13,,31.934
IE,Ireland,2013,bC13,,33.1931
IE,Ireland,2014,bC13,,30.9906
IE,Ireland,2015,bC13,,31.3458
IE,Ireland,2016,bC13,,30.8533
IE,Ireland,2017,bC13,,31.6565
IE,Ireland,2018,bC13,,29.4899
IE,Ireland,2019,bC13,,30.4327
IT,Italy,2008,bC13,,48.7723
IT,Italy,2009,bC13,,45.7619
IT,Italy,2010,bC13,,47.8759
IT,Italy,2011,bC13,,49.0176
IT,Italy,2012,bC13,,49.2406
IT,Italy,2013,bC13,,46.1736
IT,Italy,2014,bC13,,43.2309
IT,Italy,2015,bC13,,44.9283
IT,Italy,2016,bC13,,46.0379
IT,Italy,2017,bC13,,47.5009
IT,Italy,2018,bC13,,47.41
IT,Italy,2019,bC13,,46.7873
LV,Latvia,2008,bC13,,51.0317
LV,Latvia,2009,bC13,,48.5776
LV,Latvia,2010,bC13,,59.7818
LV,Latvia,2011,bC13,,56.9188
LV,Latvia,2012,bC13,,56.2145
LV,Latvia,2013,bC13,,59.8753
LV,Latvia,2014,bC13,,57.8354
LV,Latvia,2015,bC13,,53.5995
LV,Latvia,2016,bC13,,53.368
LV,Latvia,2017,bC13,,53.2091
LV,Latvia,2018,bC13,,48.689
LV,Latvia,2019,bC13,,44.8127
LT,Lithuania,2008,bC13,,46.5964
LT,Lithuania,2009,bC13,,44.5191
LT,Lithuania,2010,bC13,,45.7053
LT,Lithuania,2011,bC13,,44.2183
LT,Lithuania,2012,bC13,,44.7362
LT,Lithuania,2013,bC13,,43.5196
LT,Lithuania,2014,bC13,,43.3493
LT,Lithuania,2015,bC13,,44.4922
LT,Lithuania,2016,bC13,,46.0505
LT,Lithuania,2017,bC13,,45.4071
LT,Lithuania,2018,bC13,,44.7894
LT,Lithuania,2019,bC13,,43.8178
NL,Netherlands,2008,bC13,,32.867
NL,Netherlands,2009,bC13,,33.048
NL,Netherlands,2010,bC13,,32.4204
NL,Netherlands,2011,bC13,,31.4499
NL,Netherlands,2012,bC13,,30.8078
NL,Netherlands,2013,bC13,,31.0206
NL,Netherlands,2014,bC13,,30.2421
NL,Netherlands,2015,bC13,,29.0852
NL,Netherlands,2016,bC13,,27.9271
NL,Netherlands,2017,bC13,,28.6316
NL,Netherlands,2018,bC13,,28.6257
NL,Netherlands,2019,bC13,,28.4725
PL,Poland,2008,bC13,,39.3273
PL,Poland,2009,bC13,,40.0559
PL,Poland,2010,bC13,,38.9766
PL,Poland,2011,bC13,,37.7388
PL,Poland,2012,bC13,,37.0857
PL,Poland,2013,bC13,,36.5204
PL,Poland,2014,bC13,,36.0511
PL,Poland,2015,bC13,,35.522
PL,Poland,2016,bC13,,34.4853
PL,Poland,2017,bC13,,34.4101
PL,Poland,2018,bC13,,34.3204
PL,Poland,2019,bC13,,33.6859
PT,Portugal,2008,bC13,,52.1439
PT,Portugal,2009,bC13,,49.3262
PT,Portugal,2010,bC13,,48.5538
PT,Portugal,2011,bC13,,46.8653
PT,Portugal,2012,bC13,,47.728
PT,Portugal,2013,bC13,,49.836
PT,Portugal,2014,bC13,,49.3934
PT,Portugal,2015,bC13,,48.3882
PT,Portugal,2016,bC13,,49.1873
PT,Portugal,2017,bC13,,48.744
PT,Portugal,2018,bC13,,49.0905
PT,Portugal,2019,bC13,,47.9986
RO,Romania,2008,bC13,,47.3977
RO,Romania,2009,bC13,,43.8318
RO,Romania,2010,bC13,,43.0448
RO,Romania,2011,bC13,,40.2291
RO,Romania,2012,bC13,,39.6052
RO,Romania,2013,bC13,,39.1207
RO,Romania,2014,bC13,,41.1127
RO,Romania,2015,bC13,,43.8841
RO,Romania,2016,bC13,,43.613
RO,Romania,2017,bC13,,43.5109
RO,Romania,2018,bC13,,43.8903
RO,Romania,2019,bC13,,43.5245
SK,Slovakia,2008,bC13,,30.3721
SK,Slovakia,2009,bC13,,27.9771
SK,Slovakia,2010,bC13,,25.848
SK,Slovakia,2011,bC13,,24.9293
SK,Slovakia,2012,bC13,,24.1452
SK,Slovakia,2013,bC13,,23.8555
SK,Slovakia,2014,bC13,,21.9118
SK,Slovakia,2015,bC13,,20.9757
SK,Slovakia,2016,bC13,,22.4097
SK,Slovakia,2017,bC13,,24.3193
SK,Slovakia,2018,bC13,,20.5456
SK,Slovakia,2019,bC13,,20.6732
SI,Slovenia,2008,bC13,,61.8456
SI,Slovenia,2009,bC13,,61.3681
SI,Slovenia,2010,bC13,,61.2078
SI,Slovenia,2011,bC13,,60.4694
SI,Slovenia,2012,bC13,,59.6534
SI,Slovenia,2013,bC13,,59.7378
SI,Slovenia,2014,bC13,,59.0736
SI,Slovenia,2015,bC13,,59.2078
SI,Slovenia,2016,bC13,,58.6583
SI,Slovenia,2017,bC13,,57.9549
SI,Slovenia,2018,bC13,,57.0702
SI,Slovenia,2019,bC13,,55.2825
ES,Spain,2008,bC13,,38.5626
ES,Spain,2009,bC13,,38.5116
ES,Spain,2010,bC13,,39.7481
ES,Spain,2011,bC13,,40.9043
ES,Spain,2012,bC13,,41.3206
ES,Spain,2013,bC13,,40.978
ES,Spain,2014,bC13,,39.2338
ES,Spain,2015,bC13,,38.7591
ES,Spain,2016,bC13,,38.47
ES,Spain,2017,bC13,,37.8238
ES,Spain,2018,bC13,,36.7753
ES,Spain,2019,bC13,,36.609
SE,Sweden,2008,bC13,,30.3337
SE,Sweden,2009,bC13,,30.5421
SE,Sweden,2010,bC13,,29.3678
SE,Sweden,2011,bC13,,29.3376
SE,Sweden,2012,bC13,,28.8633
SE,Sweden,2013,bC13,,28.758
SE,Sweden,2014,bC13,,28.3003
SE,Sweden,2015,bC13,,27.2755
SE,Sweden,2016,bC13,,26.5003
SE,Sweden,2017,bC13,,25.9512
SE,Sweden,2018,bC13,,26.7289
SE,Sweden,2019,bC13,,27.5439
UK,United Kingdom,2008,bC13,,35.3195
UK,United Kingdom,2009,bC13,,35.0491
UK,United Kingdom,2010,bC13,,33.4432
UK,United Kingdom,2011,bC13,,32.9456
UK,United Kingdom,2012,bC13,,32.6934
UK,United Kingdom,2013,bC13,,32.655
UK,United Kingdom,2014,bC13,,30.8573
UK,United Kingdom,2015,bC13,,31.1845
UK,United Kingdom,2016,bC13,,31.346
UK,United Kingdom,2017,bC13,,32.4276
UK,United Kingdom,2018,bC13,,33.3005
UK,United Kingdom,2019,bC13,,34.3671
EU27,EU27(2020),2008,bC13,,41.7695
EU27,EU27(2020),2009,bC13,,40.2314
EU27,EU27(2020),2010,bC13,,40.611
EU27,EU27(2020),2011,bC13,,40.7657
EU27,EU27(2020),2012,bC13,,40.6064
EU27,EU27(2020),2013,bC13,,39.5367
EU27,EU27(2020),2014,bC13,,38.3166
EU27,EU27(2020),2015,bC13,,38.354
EU27,EU27(2020),2016,bC13,,38.4907
EU27,EU27(2020),2017,bC13,,39.3551
EU27,EU27(2020),2018,bC13,,39.4591
EU27,EU27(2020),2019,bC13,,39.6695
EU28,EU28,2008,bC13,,41.3663
EU28,EU28,2009,bC13,,39.8285
EU28,EU28,2010,bC13,,39.8958
EU28,EU28,2011,bC13,,39.792
EU28,EU28,2012,bC13,,39.4954
EU28,EU28,2013,bC13,,38.6662
EU28,EU28,2014,bC13,,37.5563
EU28,EU28,2015,bC13,,37.3688
EU28,EU28,2016,bC13,,37.7233
EU28,EU28,2017,bC13,,38.4391
EU28,EU28,2018,bC13,,38.6561
EU28,EU28,2019,bC13,,38.8466
AT,Austria,2008,bC14,,34.0434
AT,Austria,2009,bC14,,32.8636
AT,Austria,2010,bC14,,32.2189
AT,Austria,2011,bC14,,31.5271
AT,Austria,2012,bC14,,30.3944
AT,Austria,2013,bC14,,29.2051
AT,Austria,2014,bC14,,28.6109
AT,Austria,2015,bC14,,27.3026
AT,Austria,2016,bC14,,26.1841
AT,Austria,2017,bC14,,26.7657
AT,Austria,2018,bC14,,26.5645
AT,Austria,2019,bC14,,26.8587
BE,Belgium,2008,bC14,,34.9905
BE,Belgium,2009,bC14,,35.1491
BE,Belgium,2010,bC14,,35.0022
BE,Belgium,2011,bC14,,33.5045
BE,Belgium,2012,bC14,,31.8911
BE,Belgium,2013,bC14,,30.7991
BE,Belgium,2014,bC14,,29.9369
BE,Belgium,2015,bC14,,28.8649
BE,Belgium,2016,bC14,,27.9664
BE,Belgium,2017,bC14,,28.39
BE,Belgium,2018,bC14,,29.0652
BE,Belgium,2019,bC14,,29.7444
BG,Bulgaria,2008,bC14,,41.4359
BG,Bulgaria,2009,bC14,,40.1303
BG,Bulgaria,2010,bC14,,37.6466
BG,Bulgaria,2011,bC14,,37.2053
BG,Bulgaria,2012,bC14,,35.5973
BG,Bulgaria,2013,bC14,,34.3253
BG,Bulgaria,2014,bC14,,33.324
BG,Bulgaria,2015,bC14,,33.2026
BG,Bulgaria,2016,bC14,,32.336
BG,Bulgaria,2017,bC14,,32.979
BG,Bulgaria,2018,bC14,,33.4654
BG,Bulgaria,2019,bC14,,34.9021
HR,Croatia,2008,bC14,,37.0372
HR,Croatia,2009,bC14,,35.4464
HR,Croatia,2010,bC14,,33.0763
HR,Croatia,2011,bC14,,31.6704
HR,Croatia,2012,bC14,,30.1998
HR,Croatia,2013,bC14,,28.7377
HR,Croatia,2014,bC14,,26.6379
HR,Croatia,2015,bC14,,25.1797
HR,Croatia,2016,bC14,,24.5035
HR,Croatia,2017,bC14,,25.6936
HR,Croatia,2018,bC14,,29.0909
HR,Croatia,2019,bC14,,29.6508
CZ,Czech Republic,2008,bC14,,34.2829
CZ,Czech Republic,2009,bC14,,33.8504
CZ,Czech Republic,2010,bC14,,33.319
CZ,Czech Republic,2011,bC14,,31.9941
CZ,Czech Republic,2012,bC14,,31.5946
CZ,Czech Republic,2013,bC14,,30.1349
CZ,Czech Republic,2014,bC14,,29.4366
CZ,Czech Republic,2015,bC14,,28.7245
CZ,Czech Republic,2016,bC14,,27.6614
CZ,Czech Republic,2017,bC14,,28.2328
CZ,Czech Republic,2018,bC14,,28.8166
CZ,Czech Republic,2019,bC14,,29.4753
DK,Denmark,2008,bC14,,37.3406
DK,Denmark,2009,bC14,,36.5602
DK,Denmark,2010,bC14,,36.3154
DK,Denmark,2011,bC14,,34.8946
DK,Denmark,2012,bC14,,32.8609
DK,Denmark,2013,bC14,,32.0384
DK,Denmark,2014,bC14,,31.6145
DK,Denmark,2015,bC14,,30.4029
DK,Denmark,2016,bC14,,30.272
DK,Denmark,2017,bC14,,30.8177
DK,Denmark,2018,bC14,,31.6985
